,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nikolskoye,RU,59.7035,30.7861,21.09,96,88,4.7,overcast clouds
80,Cabo San Lucas,MX,22.8909,-109.9124,77.5,61,20,3.44,few clouds
81,Butaritari,KI,3.0707,172.7902,81.77,80,100,19.57,light rain
82,Pinega,RU,64.7001,43.3936,4.62,97,31,5.01,scattered clouds
83,Kruisfontein,ZA,-34.0033,24.7314,64.89,85,88,8.1,overcast clouds
84,Bambous Virieux,MU,-20.3428,57.7575,77.22,88,40,3.44,scattered clouds
85,Vostok,RU,46.4856,135.8833,14.04,93,100,1.61,light snow
86,Verkhnevilyuysk,RU,63.4453,120.3167,-47.09,100,74,0.47,broken clouds
87,Kodiak,US,57.79,-152.4072,27.91,69,0,3.44,clear sky
88,Lebu,CL,-37.6167,-73.65,57.54,75,0,18.7,clear sky
89,Vila Velha,BR,-20.3297,-40.2925,78.75,89,75,0.0,broken clouds
90,Chino Valley,US,34.7575,-112.4538,50.36,40,85,5.19,overcast clouds
91,Muskegon,US,43.3,-86.1334,14.22,67,0,5.75,clear sky
92,Mehamn,NO,71.0357,27.8492,24.42,90,88,11.97,light snow
93,Olafsvik,IS,64.8945,-23.7142,32.63,72,100,20.29,light snow
94,Albany,US,42.6001,-73.9662,3.81,62,0,4.36,clear sky
95,Inhambane,MZ,-23.865,35.3833,75.54,81,54,8.05,broken clouds
96,East London,ZA,-33.0153,27.9116,72.64,79,100,10.6,overcast clouds
97,Puerto Ayora,EC,-0.7393,-90.3518,71.96,88,70,5.44,broken clouds
98,Saskylakh,RU,71.9167,114.0833,-23.28,93,78,11.05,broken clouds
99,San Quintin,MX,30.4833,-115.95,63.68,64,90,5.35,overcast clouds
100,Nanortalik,GL,60.1432,-45.2371,31.5,96,100,24.47,snow
101,Carnarvon,AU,-24.8667,113.6333,80.67,54,0,23.02,clear sky
102,Northallerton,GB,54.339,-1.4324,42.93,86,100,6.71,overcast clouds
103,Cambridge,CA,43.3601,-80.3127,8.82,66,1,1.01,clear sky
104,Quatre Cocos,MU,-20.2078,57.7625,77.09,82,50,4.59,scattered clouds
105,Saint George,US,37.1041,-113.5841,51.35,49,0,3.0,clear sky
106,San Jose,US,37.3394,-121.895,61.45,62,75,0.0,broken clouds
107,Kutum,SD,14.2,24.6667,60.62,31,3,6.98,clear sky
108,Mitchell,US,43.7094,-98.0298,17.58,72,0,14.0,clear sky
109,Ulaangom,MN,49.9811,92.0667,-16.22,98,89,2.37,overcast clouds
110,Kieta,PG,-6.2167,155.6333,84.54,77,100,7.7,moderate rain
111,Tasiilaq,GL,65.6145,-37.6368,14.16,61,100,5.77,overcast clouds
112,Takapau,NZ,-40.0333,176.35,75.18,39,6,10.56,clear sky
113,Talaya,RU,61.3833,152.75,-30.24,97,49,0.36,scattered clouds
114,Ilulissat,GL,69.2167,-51.1,1.42,46,4,2.3,clear sky
115,Sault Sainte Marie,CA,46.5168,-84.3333,6.89,74,0,4.61,haze
116,Belmonte,BR,-15.8631,-38.8828,79.3,83,0,4.54,clear sky
117,Georgetown,MY,5.4112,100.3354,82.33,72,20,9.22,few clouds
118,Thinadhoo,MV,0.5333,72.9333,82.65,74,96,14.38,overcast clouds
119,Kahului,US,20.8947,-156.47,80.62,67,40,9.22,scattered clouds
120,Buala,SB,-8.145,159.5921,84.33,75,100,6.69,light rain
121,Longyearbyen,SJ,78.2186,15.6401,4.84,92,100,9.22,light snow
122,Kaitangata,NZ,-46.2817,169.8464,69.93,73,1,8.5,clear sky
123,Zambezi,ZM,-13.5432,23.1047,63.18,71,100,2.28,overcast clouds
124,Geraldton,AU,-28.7667,114.6,81.12,53,0,19.57,clear sky
125,Flin Flon,CA,54.7682,-101.865,26.47,94,100,8.75,overcast clouds
126,Atuona,PF,-9.8,-139.0333,78.4,75,100,14.32,light rain
127,Touros,BR,-5.1989,-35.4608,76.1,77,100,7.65,overcast clouds
128,La Ronge,CA,55.1001,-105.2842,30.45,86,100,13.8,overcast clouds
129,Mayo,US,38.8876,-76.5119,24.35,46,0,7.0,clear sky
130,Chulman,RU,56.8479,124.9104,-35.59,100,100,1.7,overcast clouds
131,Narsaq,GL,60.9167,-46.05,34.02,97,100,13.27,snow
132,Myshkin,RU,57.7897,38.4545,18.7,92,100,10.96,light snow
133,Thompson,CA,55.7435,-97.8558,17.6,91,100,11.88,light snow
134,Pevek,RU,69.7008,170.3133,-31.13,97,51,6.69,broken clouds
135,Newport,GB,51.5877,-2.9984,44.76,93,98,5.17,overcast clouds
136,Kaeo,NZ,-35.1,173.7833,74.32,57,0,15.1,clear sky
137,Plouzane,FR,48.3833,-4.6167,44.65,100,20,11.5,few clouds
138,Gao,ML,16.6362,1.637,62.49,12,100,8.43,overcast clouds
139,Seoul,KR,37.5683,126.9778,34.56,38,0,10.8,clear sky
