City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
553,Ilhabela,BR,76.21,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
568,Gambela,ET,78.24,broken clouds,8.25,34.5833,Solomon Debebe Hotel
575,West Bay,KY,76.06,few clouds,19.3667,-81.4167,Calypso Cove
596,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
597,Nova Petropolis,BR,77.38,overcast clouds,-29.3764,-51.1144,Hotel Pousada da Neve
614,Sungaipenuh,ID,76.68,broken clouds,-2.0833,101.3833,penginapan citra alam
618,Saint-Leu,RE,77.86,overcast clouds,-21.15,55.2833,La Caz Oceane
621,Mandera,KE,75.88,scattered clouds,3.9366,41.867,Mwalimu Guest mandera
626,Lucea,JM,76.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
635,Ngunguru,NZ,75.16,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
637,Malabo,GQ,76.86,thunderstorm,3.75,8.7833,Hostal Residencia Morenita
645,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
648,Cape Coast,GH,78.53,overcast clouds,5.1053,-1.2466,Samrit Hotel
653,Honiara,SB,79.36,light rain,-9.4333,159.95,Heritage Park Hotel
655,Bonthe,SL,78.8,light rain,7.5264,-12.505,Bonthe Holiday Village
657,Harper,LR,78.51,overcast clouds,4.375,-7.7169,Screensaver
659,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Ecotur Lodge
665,Severiano Melo,BR,75.04,heavy intensity rain,-5.7772,-37.9578,Chácara Bela Vista
687,Port Maria,JM,76.96,few clouds,18.3685,-76.8895,Galina Breeze Hotel
696,Lafiagi,NG,75.07,overcast clouds,8.8667,5.4167,Bus group international
