City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lompoc,US,2021-12-30 19:16:54,34.6391,-120.4579,60.57,79,90,0.0
68,Palana,RU,2021-12-30 19:16:55,59.1167,159.9667,-8.77,98,50,6.73
69,Grindavik,IS,2021-12-30 19:16:55,63.8424,-22.4338,28.87,74,75,4.61
70,Ushuaia,AR,2021-12-30 19:15:42,-54.8,-68.3,58.62,47,75,9.22
71,Port Alfred,ZA,2021-12-30 19:16:56,-33.5906,26.891,66.31,74,100,8.19
72,Tinaquillo,VE,2021-12-30 19:16:56,9.9186,-68.3047,89.94,34,100,3.22
73,Charleston,US,2021-12-30 19:15:02,32.7766,-79.9309,81.21,83,20,4.0
74,Shimanovsk,RU,2021-12-30 19:16:57,52.0,127.7,-21.33,90,20,5.14
75,Wanning,CN,2021-12-30 19:16:57,18.8003,110.3967,66.85,87,99,7.83
76,Kaitangata,NZ,2021-12-30 19:16:58,-46.2817,169.8464,53.92,79,100,3.71
77,Lovington,US,2021-12-30 19:16:58,32.944,-103.3485,60.78,36,100,7.0
78,Byron Bay,AU,2021-12-30 19:12:18,-28.65,153.6167,73.06,81,51,7.61
79,Port Hedland,AU,2021-12-30 19:16:59,-20.3167,118.5667,82.45,78,40,5.75
80,Ribeira Grande,PT,2021-12-30 19:16:59,38.5167,-28.7,63.0,94,75,28.77
81,East London,ZA,2021-12-30 19:16:59,-33.0153,27.9116,68.05,69,100,7.92
82,Lebu,CL,2021-12-30 19:17:00,-37.6167,-73.65,60.28,62,0,17.45
83,Auki,SB,2021-12-30 19:17:00,-8.7676,160.7034,80.29,81,100,6.17
84,Ust-Tsilma,RU,2021-12-30 19:17:01,65.441,52.1498,13.23,92,100,7.96
85,Beringovskiy,RU,2021-12-30 19:17:01,63.05,179.3167,0.54,94,100,14.38
86,Zhezkazgan,KZ,2021-12-30 19:17:01,47.8043,67.7144,7.75,79,96,9.4
87,Makakilo City,US,2021-12-30 19:17:02,21.3469,-158.0858,73.0,85,90,3.44
88,Santiago,CL,2021-12-30 19:17:02,-33.4569,-70.6483,91.29,28,0,8.05
89,Mar Del Plata,AR,2021-12-30 19:17:02,-38.0023,-57.5575,84.22,37,0,14.0
90,Taoudenni,ML,2021-12-30 19:17:03,22.6783,-3.9836,73.54,22,0,11.25
91,Te Anau,NZ,2021-12-30 19:17:03,-45.4167,167.7167,48.43,78,100,3.78
92,Qaanaaq,GL,2021-12-30 19:17:04,77.484,-69.3632,-16.29,81,89,6.6
93,Victoria,HK,2021-12-30 19:17:04,22.2855,114.1577,65.32,85,82,1.01
94,Broken Hill,AU,2021-12-30 19:18:04,-31.95,141.4333,74.12,29,0,7.54
95,Bull Savanna,JM,2021-12-30 19:18:05,17.8868,-77.5902,83.46,59,1,15.32
96,Komsomolskiy,UZ,2021-12-30 19:18:05,40.4272,71.7189,30.92,64,100,2.3
97,Esil,KZ,2021-12-30 19:18:05,51.9556,66.4042,1.81,85,100,8.1
98,Los Angeles,US,2021-12-30 19:16:09,34.0522,-118.2437,59.27,94,90,6.91
99,Preobrazheniye,RU,2021-12-30 19:18:06,42.9019,133.9064,-0.44,60,3,9.91
100,Port Lincoln,AU,2021-12-30 19:18:06,-34.7333,135.8667,63.72,78,0,3.96
101,Atuona,PF,2021-12-30 19:18:07,-9.8,-139.0333,78.62,77,10,19.04
102,Port Elizabeth,ZA,2021-12-30 19:18:07,-33.918,25.5701,66.09,88,40,0.0
103,Bintulu,MY,2021-12-30 19:18:07,3.1667,113.0333,73.81,94,20,2.3
104,Sorong,ID,2021-12-30 19:18:08,-0.8833,131.25,80.53,80,64,10.0
105,Dustlik,UZ,2021-12-30 19:18:08,40.5247,68.0358,42.57,34,100,11.45
106,Cape Town,ZA,2021-12-30 19:16:05,-33.9258,18.4232,64.11,67,0,5.01
107,Bluff,NZ,2021-12-30 19:18:09,-46.6,168.3333,50.81,75,100,13.29
108,Sirnach,CH,2021-12-30 19:18:09,47.4622,8.9976,54.19,93,100,3.36
109,Riyadh,SA,2021-12-30 19:17:33,24.6877,46.7219,62.74,62,32,5.35
110,Fortuna,US,2021-12-30 19:14:49,40.5982,-124.1573,49.66,85,40,4.0
111,Lavrentiya,RU,2021-12-30 19:18:10,65.5833,-171.0,-16.6,91,31,7.07
112,Hithadhoo,MV,2021-12-30 19:18:10,-0.6,73.0833,82.53,70,17,12.17
113,Verkhnevilyuysk,RU,2021-12-30 19:18:11,63.4453,120.3167,-40.76,100,75,2.39
114,Itarema,BR,2021-12-30 19:18:11,-2.9248,-39.9167,84.99,65,32,15.05
115,Verkhnyaya Inta,RU,2021-12-30 19:18:12,65.9811,60.3094,13.26,95,100,7.34
116,Sept-Iles,CA,2021-12-30 19:14:52,50.2001,-66.3821,31.05,81,75,3.0
117,Saint-Augustin,CA,2021-12-30 19:18:12,51.226,-58.6502,20.43,92,100,1.16
118,Saint George,US,2021-12-30 19:17:26,37.1041,-113.5841,44.64,85,90,8.99
119,Saint-Joseph,RE,2021-12-30 19:18:13,-21.3667,55.6167,75.58,76,85,12.37
120,Egvekinot,RU,2021-12-30 19:18:13,66.3167,-179.1667,-15.47,85,8,10.4
121,Bethel,US,2021-12-30 19:18:13,41.3712,-73.414,47.19,88,90,0.0
122,Carnarvon,AU,2021-12-30 19:18:14,-24.8667,113.6333,73.47,83,40,18.41
123,Ndele,CF,2021-12-30 19:18:14,8.4109,20.6473,80.85,26,15,4.45
124,Haftoni,AZ,2021-12-30 19:18:14,38.7632,48.7622,44.31,87,90,2.3
125,Masterton,NZ,2021-12-30 19:14:14,-40.9597,175.6575,62.96,85,98,0.58
126,Kirakira,SB,2021-12-30 19:18:15,-10.4544,161.9205,80.04,83,100,5.75
127,Katsuura,JP,2021-12-30 19:18:16,35.1333,140.3,42.91,62,10,15.61
128,New Norfolk,AU,2021-12-30 19:18:16,-42.7826,147.0587,54.9,59,100,4.07
129,Pechenga,RU,2021-12-30 19:18:16,69.5259,31.1703,14.86,99,98,3.76
130,Saint-Philippe,RE,2021-12-30 19:18:17,-21.3585,55.7679,76.59,79,99,12.77
131,Korla,CN,2021-12-30 19:18:17,41.7597,86.1469,17.82,70,12,3.18
132,Kahului,US,2021-12-30 19:18:17,20.8947,-156.47,75.97,79,40,3.44
133,Adrar,MR,2021-12-30 19:18:18,20.5022,-10.0711,72.16,19,0,10.33
134,Coihaique,CL,2021-12-30 19:16:22,-45.5752,-72.0662,61.41,54,75,4.61
135,Hermanus,ZA,2021-12-30 19:18:18,-34.4187,19.2345,63.9,63,94,12.55
136,Namatanai,PG,2021-12-30 19:18:19,-3.6667,152.4333,80.19,83,91,6.26
137,Oneonta,US,2021-12-30 19:16:45,42.4529,-75.0638,45.28,92,100,1.66
138,Severo-Kurilsk,RU,2021-12-30 19:18:20,50.6789,156.125,30.88,97,100,34.69
139,Dongsheng,CN,2021-12-30 19:19:20,39.8161,109.9776,16.75,35,3,6.58
